solvent,name,family,smiles,n_atoms,eps,xtb_dipole_D,gas_HOMO_eV,gas_LUMO_eV,gas_gap_eV,gas_dipole_D,gas_time_s,sol_HOMO_eV,sol_LUMO_eV,sol_gap_eV,sol_dipole_D,sol_time_s,dHOMO_eV,ddipole_D
FEC,fluoroethylene carbonate,additive,O=C1OCC(F)O1,10,107.0,2.9834997162526795,-8.316762320388666,0.1224916515606945,8.439253971949361,5.086180146019704,9.0,-8.593910961475899,0.043828199755967,8.637739161231867,6.210876091707963,17.6,-0.2771486410872334,1.1246959456882593
EC,ethylene carbonate,carbonate,C1COC(=O)O1,10,89.8,3.062541600166188,-8.026464744835252,0.4409893472696098,8.467454092104862,5.307558281611087,7.0,-8.365114748558328,0.3097797768227178,8.674894525381045,6.457837546740007,13.4,-0.3386500037230764,1.15027926512892
PC,propylene carbonate,carbonate,CC1COC(=O)O1,13,64.9,3.203934376681731,-7.951871024171865,0.4687523643658858,8.42062338853775,5.447218897891837,12.5,-8.321435287236632,0.2995845542531755,8.621019841489808,6.62512289273843,25.0,-0.3695642630647668,1.1779039948465932
DMC,dimethyl carbonate,carbonate,COC(=O)OC,12,3.1,0.2745020859072129,-7.979315279722773,0.7381061798103736,8.717421459533147,0.2448030205307126,8.7,-8.1372232584629,0.6351942842190859,8.772417542681985,0.3025840962688389,17.4,-0.157907978740126,0.0577810757381263
TEP,triethyl phosphate,phosphate,CCOP(=O)(OCC)OCC,26,13.0,1.25291054111091,-7.607008673680917,1.4144873281635368,9.021496001844454,1.5996759974359434,98.3,-7.9629986167258116,1.391371316335562,9.354369933061374,1.8993487510252927,159.7,-0.35598994304489473,0.2996727535893493
DME,"1,2-dimethoxyethane",ether,COCCOC,16,7.2,0.9811497653754974,-6.770665019995207,1.6176621142812215,8.388327134276429,1.3814927591624429,12.4,-6.885408119169118,1.7057244078377405,8.59113252700686,1.7647610216051717,26.1,-0.1147430991739106,0.3832682624427286
